from_station_key,to_station_key,edge_type,distance_band
STN_0038,STN_0111,proximity,1-5mi
STN_0039,STN_0043,proximity,1-5mi
STN_0039,STN_0107,same_corridor,1-5mi
STN_0039,STN_0116,proximity,1-5mi
STN_0040,STN_0052,proximity,<=1mi
STN_0040,STN_0075,proximity,<=1mi
STN_0041,STN_0058,proximity,<=1mi
STN_0042,STN_0068,proximity,1-5mi
STN_0042,STN_0093,same_corridor,1-5mi
STN_0042,STN_0108,same_corridor,<=1mi
STN_0043,STN_0116,proximity,1-5mi
STN_0044,STN_0078,same_corridor,1-5mi
STN_0045,STN_0048,proximity,1-5mi
STN_0046,STN_0079,proximity,1-5mi
STN_0047,STN_0063,proximity,1-5mi
STN_0047,STN_0118,proximity,1-5mi
STN_0049,STN_0082,proximity,<=1mi
STN_0049,STN_0094,same_corridor,<=1mi
STN_0049,STN_0105,proximity,5-15mi
STN_0050,STN_0054,same_corridor,5-15mi
STN_0050,STN_0085,proximity,1-5mi
STN_0050,STN_0113,same_corridor,5-15mi
STN_0051,STN_0106,proximity,5-15mi
STN_0052,STN_0075,proximity,<=1mi
STN_0053,STN_0057,proximity,<=1mi
STN_0053,STN_0060,proximity,1-5mi
STN_0053,STN_0066,same_corridor,1-5mi
STN_0053,STN_0114,proximity,1-5mi
STN_0053,STN_0118,same_corridor,1-5mi
STN_0054,STN_0085,proximity,5-15mi
STN_0054,STN_0110,proximity,5-15mi
STN_0055,STN_0074,same_corridor,1-5mi
STN_0055,STN_0127,same_corridor,<=1mi
STN_0056,STN_0113,same_corridor,1-5mi
STN_0057,STN_0060,same_corridor,1-5mi
STN_0057,STN_0118,proximity,<=1mi
STN_0058,STN_0078,proximity,<=1mi
STN_0059,STN_0089,proximity,1-5mi
STN_0059,STN_0102,proximity,1-5mi
STN_0059,STN_0119,proximity,1-5mi
STN_0059,STN_0120,proximity,1-5mi
STN_0060,STN_0074,proximity,1-5mi
STN_0060,STN_0114,same_corridor,<=1mi
STN_0061,STN_0100,same_corridor,<=1mi
STN_0061,STN_0109,proximity,1-5mi
STN_0062,STN_0072,proximity,1-5mi
STN_0062,STN_0073,same_corridor,1-5mi
STN_0062,STN_0111,same_corridor,1-5mi
STN_0062,STN_0124,proximity,1-5mi
STN_0063,STN_0096,proximity,1-5mi
STN_0064,STN_0072,same_corridor,1-5mi
STN_0064,STN_0114,same_corridor,1-5mi
STN_0065,STN_0066,same_corridor,<=1mi
STN_0067,STN_0087,proximity,5-15mi
STN_0068,STN_0108,proximity,1-5mi
STN_0068,STN_0115,proximity,1-5mi
STN_0069,STN_0104,same_corridor,1-5mi
STN_0071,STN_0111,same_corridor,1-5mi
STN_0072,STN_0111,proximity,1-5mi
STN_0073,STN_0124,proximity,<=1mi
STN_0075,STN_0092,proximity,1-5mi
STN_0076,STN_0103,same_corridor,<=1mi
STN_0077,STN_0088,same_corridor,1-5mi
STN_0078,STN_0107,same_corridor,1-5mi
STN_0080,STN_0115,proximity,1-5mi
STN_0081,STN_0113,proximity,5-15mi
STN_0082,STN_0094,same_corridor,<=1mi
STN_0083,STN_0097,same_corridor,5-15mi
STN_0084,STN_0123,same_corridor,1-5mi
STN_0085,STN_0090,proximity,1-5mi
STN_0086,STN_0117,proximity,1-5mi
STN_0086,STN_0127,proximity,1-5mi
STN_0088,STN_0102,proximity,1-5mi
STN_0089,STN_0119,same_corridor,<=1mi
STN_0089,STN_0120,proximity,1-5mi
STN_0090,STN_0103,same_corridor,5-15mi
STN_0091,STN_0106,proximity,5-15mi
STN_0092,STN_0097,proximity,5-15mi
STN_0092,STN_0105,proximity,1-5mi
STN_0093,STN_0108,proximity,1-5mi
STN_0095,STN_0100,proximity,1-5mi
STN_0096,STN_0102,proximity,1-5mi
STN_0098,STN_0107,proximity,1-5mi
STN_0099,STN_0121,same_corridor,5-15mi
STN_0100,STN_0109,proximity,1-5mi
STN_0101,STN_0121,proximity,1-5mi
STN_0108,STN_0127,same_corridor,1-5mi
STN_0110,STN_0112,proximity,5-15mi
STN_0117,STN_0118,same_corridor,<=1mi
STN_0117,STN_0127,proximity,<=1mi
STN_0122,STN_0125,proximity,1-5mi
