station_key,through_lanes,speed_limit,functional_class,aadt_band,lane_width,roadway_width_band,surface_type
STN_0060,3.0,65.0,Interstate,50k-100k,12.0,60+,Concrete
STN_0061,2.0,35.0,Minor Arterial,10k-25k,12.0,24-35,Composite
STN_0062,2.0,55.0,Interstate,50k-100k,12.0,36-47,Asphalt
STN_0063,3.0,35.0,Minor Collector,<5k,12.0,36-47,Asphalt
STN_0064,3.0,65.0,Interstate,50k-100k,12.0,48-59,Concrete
STN_0065,2.0,55.0,Interstate,50k-100k,12.0,36-47,Composite
STN_0066,2.0,55.0,Interstate,50k-100k,13.0,36-47,
STN_0067,2.0,55.0,Other Principal Arterials,10k-25k,12.0,36-47,Composite
STN_0068,2.0,45.0,Other Principal Arterials,25k-50k,12.0,36-47,Composite
STN_0069,2.0,50.0,Minor Arterial,<5k,12.0,36-47,Composite
STN_0070,2.0,40.0,Other Principal Arterials,25k-50k,12.0,48-59,Composite
STN_0071,2.0,55.0,Interstate,50k-100k,12.0,36-47,Composite
STN_0072,3.0,65.0,Interstate,50k-100k,12.0,48-59,Concrete
STN_0073,4.0,55.0,Interstate,100k+,12.0,60+,Asphalt
STN_0074,4.0,50.0,Interstate,50k-100k,12.0,48-59,
STN_0075,2.0,25.0,Local,<5k,18.0,48-59,Asphalt
STN_0076,4.0,45.0,Other Principal Arterials,10k-25k,11.0,60+,Composite
STN_0077,2.0,35.0,Other Principal Arterials,10k-25k,11.0,36-47,Composite
STN_0078,2.0,65.0,,10k-25k,12.0,36-47,Concrete
STN_0079,2.0,40.0,Other Principal Arterials,10k-25k,12.0,36-47,Composite
STN_0080,2.0,25.0,,<5k,11.0,24-35,
STN_0081,2.0,50.0,,<5k,10.0,36-47,Composite
STN_0082,4.0,35.0,Minor Arterial,10k-25k,12.0,48-59,Composite
STN_0083,2.0,65.0,,50k-100k,12.0,36-47,Asphalt
STN_0084,2.0,55.0,Other Expressways & Freeway,25k-50k,12.0,36-47,Asphalt
STN_0085,2.0,40.0,,<5k,9.0,24-35,Surface Treated
STN_0086,2.0,45.0,Other Principal Arterials,25k-50k,12.0,24-35,Composite
STN_0087,2.0,50.0,,<5k,11.0,24-35,Asphalt
STN_0088,1.0,35.0,Other Principal Arterials,10k-25k,12.0,24-35,Composite
STN_0089,3.0,45.0,Other Principal Arterials,25k-50k,12.0,60+,Composite
STN_0090,2.0,50.0,Other Principal Arterials,10k-25k,12.0,36-47,Composite
STN_0091,2.0,50.0,Major Collector,<5k,12.0,36-47,Asphalt
STN_0092,2.0,65.0,,50k-100k,12.0,36-47,Concrete
STN_0093,4.0,65.0,Interstate,100k+,12.0,60+,Composite
STN_0094,2.0,35.0,Minor Arterial,10k-25k,12.0,36-47,Composite
STN_0095,2.0,35.0,,10k-25k,12.0,36-47,Asphalt
STN_0096,2.0,35.0,Major Collector,<5k,10.0,36-47,Asphalt
STN_0097,2.0,65.0,,50k-100k,12.0,36-47,Concrete
STN_0098,2.0,55.0,Other Principal Arterials,10k-25k,12.0,36-47,Composite
STN_0099,2.0,55.0,Other Expressways & Freeway,25k-50k,12.0,36-47,Composite
STN_0100,2.0,35.0,Minor Arterial,10k-25k,12.0,24-35,Composite
STN_0101,2.0,50.0,,<5k,10.0,24-35,Asphalt
STN_0102,2.0,25.0,,<5k,11.0,24-35,Asphalt
STN_0103,4.0,45.0,Other Principal Arterials,10k-25k,11.0,60+,Composite
STN_0104,4.0,30.0,Minor Arterial,10k-25k,12.0,48-59,Composite
STN_0105,2.0,50.0,Major Collector,5k-10k,12.0,36-47,Composite
STN_0106,2.0,50.0,Major Collector,<5k,12.0,36-47,Asphalt
STN_0107,2.0,65.0,,10k-25k,12.0,36-47,Concrete
STN_0108,5.0,65.0,Interstate,100k+,12.0,60+,Composite
STN_0109,2.0,35.0,,<5k,12.0,24-35,Asphalt
STN_0110,2.0,50.0,Other Principal Arterials,10k-25k,11.0,24-35,Composite
STN_0111,2.0,55.0,Interstate,50k-100k,12.0,36-47,Asphalt
STN_0112,2.0,50.0,,<5k,9.0,24-35,Asphalt
STN_0113,2.0,55.0,,25k-50k,12.0,36-47,Composite
STN_0114,3.0,65.0,Interstate,50k-100k,11.0,48-59,
STN_0115,2.0,30.0,Local,<5k,12.0,36-47,Asphalt
STN_0116,3.0,65.0,,100k+,12.0,48-59,Concrete
STN_0117,5.0,65.0,Interstate,50k-100k,12.0,60+,Composite
STN_0118,3.0,55.0,Interstate,50k-100k,12.0,60+,Composite
STN_0119,2.0,50.0,Other Principal Arterials,10k-25k,12.0,36-47,Composite
STN_0120,2.0,35.0,Local,<5k,6.0,<24,Asphalt
STN_0121,2.0,55.0,Other Principal Arterials,25k-50k,12.0,36-47,Composite
STN_0122,3.0,40.0,Other Principal Arterials,25k-50k,12.0,36-47,Composite
STN_0123,2.0,55.0,Other Expressways & Freeway,25k-50k,12.0,36-47,Composite
STN_0124,2.0,45.0,Other Principal Arterials,10k-25k,12.0,24-35,Asphalt
STN_0125,2.0,50.0,Other Principal Arterials,25k-50k,12.0,36-47,Composite
STN_0126,2.0,50.0,,10k-25k,12.0,36-47,Composite
STN_0127,3.0,50.0,Interstate,100k+,13.0,48-59,Composite
